filmTitle,filmGenre,bookTitle,bookGenre,author,authorName,birthDate
18.05.2009,,Sri Lankan Civil War,,,,
200 Halla Ho,,Akku Yadav,,,,
27 Guns,,Ugandan Bush War,,,,
50 Million Frenchmen (film),,Herbert Fields,,,,
50 Million Frenchmen (film),,Cole Porter,,,,
93 Days,,Ebola virus disease in Nigeria,,,,
A Boy and His Dog (1946 film),,Samuel A. Derieux,,,,
A Day in Hollywood / A Night in the Ukraine,,Anton Chekhov,,,,
A Fistful of Dollars,,Ryūzō Kikushima,,,,
A Gentleman's Guide to Love and Murder,,Roy Horniman,,,,
A Lesson Before Dying (film),,Ernest J. Gaines,,,,
A Little South of Heaven,,Ruth Park,,,,
A Night Out (musical),,L'Hôtel du libre échange,,,,
A Night Out (musical),,Maurice Desvallières,,,,
A Night at Switch n' Play,,Artist collective,,,,
A Night in New Arabia,,O. Henry,,,,
A Poet in New York,,Dylan Thomas,,,,
Aadmi (1968 film),,Aalayamani,,,,
Aakrosh (2010 film),,Mississippi Burning,,,,
Aamdani Atthanni Kharcha Rupaiya,,V. Sekhar,,,,
Aarathu Sinam,,Memories (2013 film),,,,
Aashiqui (2015 film),,Ishq (2012 film),,,,
Aayanaki Iddaru,,Aaina (1993 film),,,,
Abar Tora Manush Ho,,Amjad Hossain,,,,
Abhijan (1984 film),,Syed Shamsul Haque,,,,
Abhimaan (2016 film),,Attarintiki Daredi,,,,
Adam Surat,,SM Sultan,,,,
Adavilo Abhimanyudu,,Douthyam,,,,
Adding Machine (musical),,The Adding Machine,,,,
Adding Machine (musical),,Elmer Rice,,,,
Adhiyar,,Selim Al Din,,,,
Adyaksha in America,,Two Countries,,,,
African Treasure,,Roy Rockwood,,,,
Aga Bai Arrecha!,,What Women Want,,,,
Ahista Ahista (1981 film),,Gejje Pooje,,,,
Aisha (2010 film),,Clueless,,,,
Aiyaary,,Adarsh Housing Society scam,,,,
Aksar 2,,Aksar,,,,
Aladdin and the Wonderful Lamp (1934 film),,Aladdin,,,,
All Hail the King,,Marvel Comics,Superhero fiction,,,
All Hail the King,,Marvel Comics,Action fiction,,,
All Hail the King,,Marvel Comics,Adventure fiction,,,
All Hail the King,,Marvel Comics,Fantasy,,,
