authorLabel,combinedGenres,birthDate,combinedNationalityOrLanguage,topBooks
A. A. Milne,Children's literature,1882-01-18,,Winnie-the-Pooh
A. E. Housman,Lyric poetry,1859-03-26,,A Shropshire Lad
A. Igoni Barrett,"Short stories, novels",1979-03-26,English,Blackass
A. J. Healy,"Comedy, Fantasy",1969-04-02,Ireland,"Tommy Storm, Tommy Storm and the Galactic Knights"
A. J. Quinnell,Thriller fiction,1940-06-25,,"Man on Fire (Quinnell novel), The Mahdi"
A. M. Klein,Poetry,1909-02-14,Canadians,The Second Scroll
A. R. Gurney,Theatre,1930-11-01,,"Love Letters (play), Sweet Sue (play), The Cocktail Hour, The Dining Room"
A. S. King,"Short fiction, Young-adult novel",1970-03-10,,Ask the Passengers
Aaron McGruder,"Comic strip, Television writer",1974-05-29,,"The Boondocks (2005 TV series), The Boondocks (comic strip)"
Abdul Halim Sharar,"Drama, nonfiction, history, personal correspondence",1860-09-04,India,Guzishta Lucknow
Abdul Muis,Fiction,1886-07-03,,"Pertemuan Jodoh, Salah Asuhan"
Abdul Rahman Munif,"Novel, short story, critic, biography",1933-05-29,Saudis,"Cities of Salt, East of the Mediterranean"
Abdussalam Puthige,Present,1964-04-02,India,Allama Iqbal
Abdussalam Puthige,Present,1964-04-02,India,Allama Iqbal
Abdussalam Puthige,Present,1964-04-02,India,Allama Iqbal
Abdussalam Puthige,Present,1964-04-02,India,Allama Iqbal
Abraham Verghese,"Autobiography, Medical handbook",1955-05-30,,"Cutting for Stone, My Own Country, The Tennis Partner"
Ada Palmer,"Dystopian fiction, Historical fiction, Science fiction, Speculative fiction",1981-06-09,,Too Like the Lightning
Adalbert Stifter,Poetic realism,1805-10-23,Austrians,"Bergkristall, Der Nachsommer, Witiko (novel)"
Adam Mickiewicz,Romanticism,1798-12-24,Polish language,"Dziady (poem), Pan Tadeusz"
Adam Roberts (British writer),"Science fiction, fantasy, parody",1965-06-30,British people,"Gradisil, Salt (Roberts novel)"
Adam Silvera,"LGBT literature, Young adult fiction",1990-06-07,American English,"History Is All You Left Me, They Both Die at the End, What If It's Us"
Agatha Christie,"Murder mystery, Thriller (genre)",1890-09-15,,"And Then There Were None, Death on the Nile, Murder on the Orient Express, Partners in Crime (short story collection), The A.B.C. Murders, The Mousetrap, The Murder at the Vicarage, The Murder of Roger Ackroyd"
Aimée Sommerfelt,"Children's books, Young adult fiction",1892-04-02,Norway,The Road to Agra
Akwaeke Emezi,"Fantasy, Romance novel",1987-06-06,Nigeria,"Dear Senthuran, Freshwater (novel), Pet (novel), The Death of Vivek Oji"
Alan Dean Foster,"Fantasy, Science fiction",1946-11-18,,"Humanx Commonwealth, Spellsinger"
Alan Duff,Fiction,1950-10-26,,"Jake's Long Shadow, Once Were Warriors, What Becomes of the Broken Hearted? (film), What Becomes of the Broken Hearted? (novel)"
Alan Garner,"Children's literature, Low fantasy",1934-10-17,,"Elidor, The Moon of Gomrath, The Owl Service, The Stone Book Quartet, The Weirdstone of Brisingamen"
Alan Hollinghurst,"Novel, poem, short story",1954-05-26,,"The Folding Star, The Line of Beauty, The Sparsholt Affair, The Spell (novel), The Stranger's Child, The Swimming Pool Library"
Alan Moore,Horror fiction,1953-11-18,,"Batman: The Killing Joke, For the Man Who Has Everything, From Hell, Jerusalem (Moore novel), Lost Girls (graphic novel), Marvelman, Promethea, Superman: Whatever Happened to the Man of Tomorrow?, Swamp Thing (comic book), The Ballad of Halo Jones, The League of Extraordinary Gentlemen, V for Vendetta, Voice of the Fire, Watchmen"
Alan Plater,Television,1935-04-15,,"A Very British Coup (mini-series), Oh No It's Selwyn Froggitt, The Beiderbecke Trilogy"
Alan Simpson (scriptwriter),Television,1929-11-27,,"Comedy Playhouse, Hancock's Half Hour, Steptoe and Son"
Alan White (novelist),"Militaria, War novels",1924-02-23,,The Long Day's Dying
Alasdair Gray,"Dystopian novel, Realism (arts), Science fiction, Surrealism",1934-12-28,,"1982, Janine, Lanark: A Life in Four Books, Poor Things, The Book of Prefaces"
Alberto Manguel,"Novel, essay",1948-03-13,,"Reading (process), The Dictionary of Imaginary Places"
Aleksey Pisemsky,"Novel, short story",1821-03-23,,A Bitter Fate
Alethea Arnaquq-Baril,"Documentary, Feature Films, Short Films",1978-05-09,,Angry Inuk
Alex Miller (writer),Literary fiction,1936-12-27,,"Journey to the Stone Country, Lovesong (novel), The Ancestor Game"
Alex Scarrow,"Alternate history, Thriller (genre)",1966-02-14,,TimeRiders
Alexander Belyaev,"Adventure novel, Science fiction",1884-03-16,Russia,"Amphibian Man, Ariel (novel), Professor Dowell's Head, The Air Seller"
Alexander Cordell,Novel,1914-09-09,,Rape of the Fair Country
Alexander Pushkin,"Novel, novel in verse, poem, drama, short story, fairytale",1799-06-06,Russian,"Boris Godunov (play), Eugene Onegin, Ruslan and Ludmila, The Captain's Daughter"
Alexander Victorovich Fedorov,Non-fiction,1954-11-04,,Moscow
Alexandra Day,Children's picture books,1941-04-27,,"Good Dog, Carl"
