,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,authorLabel,combinedGenres,birthDate,combinedNationalityOrLanguage,topBooks,author_id,genres_list,books_list
0,0,0,0,A. A. Milne,Children's literature,1882-01-18,,Winnie-the-Pooh,A. A. Milne,['Childrens Literature'],['Winniethepooh']
1,1,1,1,A. E. Housman,Lyric poetry,1859-03-26,,A Shropshire Lad,A. E. Housman,['Lyric Poetry'],['A Shropshire Lad']
2,2,2,2,A. Igoni Barrett,"Short stories, novels",1979-03-26,English,Blackass,A. Igoni Barrett,"['Short Stories', 'Novels']",['Blackass']
3,3,3,3,A. J. Healy,"Comedy, Fantasy",1969-04-02,Ireland,"Tommy Storm, Tommy Storm and the Galactic Knights",A. J. Healy,"['Comedy', 'Fantasy']","['Tommy Storm', 'Tommy Storm And The Galactic Knights']"
4,4,4,4,A. J. Quinnell,Thriller fiction,1940-06-25,,"Man on Fire (Quinnell novel), The Mahdi",A. J. Quinnell,['Thriller Fiction'],"['Man On Fire Quinnell Novel', 'The Mahdi']"
5,5,5,5,A. M. Klein,Poetry,1909-02-14,Canadians,The Second Scroll,A. M. Klein,['Poetry'],['The Second Scroll']
6,6,6,6,A. R. Gurney,Theatre,1930-11-01,,"Love Letters (play), Sweet Sue (play), The Cocktail Hour, The Dining Room",A. R. Gurney,['Theatre'],"['Love Letters Play', 'Sweet Sue Play', 'The Cocktail Hour', 'The Dining Room']"
7,7,7,7,A. S. King,"Short fiction, Young-adult novel",1970-03-10,,Ask the Passengers,A. S. King,"['Short Fiction', 'Youngadult Novel']",['Ask The Passengers']
8,8,8,8,Aaron McGruder,"Comic strip, Television writer",1974-05-29,,"The Boondocks (2005 TV series), The Boondocks (comic strip)",Aaron McGruder,"['Comic Strip', 'Television Writer']","['The Boondocks 2005 Tv Series', 'The Boondocks Comic Strip']"
9,9,9,9,Abdul Halim Sharar,"Drama, nonfiction, history, personal correspondence",1860-09-04,India,Guzishta Lucknow,Abdul Halim Sharar,"['Drama', 'Nonfiction', 'History', 'Personal Correspondence']",['Guzishta Lucknow']
10,10,10,10,Abdul Muis,Fiction,1886-07-03,,"Pertemuan Jodoh, Salah Asuhan",Abdul Muis,['Fiction'],"['Pertemuan Jodoh', 'Salah Asuhan']"
