,subject,predicate,object
0,A. A. Milne,wrote,BookWinniethepooh
1,A. A. Milne,writesGenre,GenreChildrens_Literature
2,A. A. Milne,bornInCentury,Century_19
3,A. E. Housman,wrote,BookA_Shropshire_Lad
4,A. E. Housman,writesGenre,GenreLyric_Poetry
5,A. E. Housman,bornInCentury,Century_19
6,A. Igoni Barrett,wrote,BookBlackass
7,A. Igoni Barrett,writesGenre,GenreShort_Stories
8,A. Igoni Barrett,writesGenre,GenreNovels
9,A. Igoni Barrett,bornInCentury,Century_20
10,A. J. Healy,wrote,BookTommy_Storm
11,A. J. Healy,wrote,BookTommy_Storm_And_The_Galactic_Knights
12,A. J. Healy,writesGenre,GenreComedy
13,A. J. Healy,writesGenre,GenreFantasy
14,A. J. Healy,bornInCentury,Century_20
15,A. J. Quinnell,wrote,BookMan_On_Fire_Quinnell_Novel
16,A. J. Quinnell,wrote,BookThe_Mahdi
17,A. J. Quinnell,writesGenre,GenreThriller_Fiction
18,A. J. Quinnell,bornInCentury,Century_20
19,A. M. Klein,wrote,BookThe_Second_Scroll
20,A. M. Klein,writesGenre,GenrePoetry
21,A. M. Klein,bornInCentury,Century_20
22,A. R. Gurney,wrote,BookLove_Letters_Play
23,A. R. Gurney,wrote,BookSweet_Sue_Play
24,A. R. Gurney,wrote,BookThe_Cocktail_Hour
25,A. R. Gurney,wrote,BookThe_Dining_Room
26,A. R. Gurney,writesGenre,GenreTheatre
27,A. R. Gurney,bornInCentury,Century_20
28,A. S. King,wrote,BookAsk_The_Passengers
29,A. S. King,writesGenre,GenreShort_Fiction
30,A. S. King,writesGenre,GenreYoungadult_Novel
31,A. S. King,bornInCentury,Century_20
32,Aaron McGruder,wrote,BookThe_Boondocks_2005_Tv_Series
33,Aaron McGruder,wrote,BookThe_Boondocks_Comic_Strip
34,Aaron McGruder,writesGenre,GenreComic_Strip
35,Aaron McGruder,writesGenre,GenreTelevision_Writer
36,Aaron McGruder,bornInCentury,Century_20
37,Abdul Halim Sharar,wrote,BookGuzishta_Lucknow
38,Abdul Halim Sharar,writesGenre,GenreDrama
39,Abdul Halim Sharar,writesGenre,GenreNonfiction
40,Abdul Halim Sharar,writesGenre,GenreHistory
41,Abdul Halim Sharar,writesGenre,GenrePersonal_Correspondence
42,Abdul Halim Sharar,bornInCentury,Century_19
43,Abdul Muis,wrote,BookPertemuan_Jodoh
44,Abdul Muis,wrote,BookSalah_Asuhan
45,Abdul Muis,writesGenre,GenreFiction
46,Abdul Muis,bornInCentury,Century_19
47,Abdul Rahman Munif,wrote,BookCities_Of_Salt
48,Abdul Rahman Munif,wrote,BookEast_Of_The_Mediterranean
